;I;L;sum;russian;type
na_dne;241;1015;1256;на дне;PP
na_vysote;242;425;667;на высоте;PP
cherez_golovu;79;255;334;через голову;PP
smotret_v_glaza;97;134;231;смотреть в глаза;VP
s_bleskom;183;35;218;с блеском;PP
podnyat_ruku;112;43;155;поднять руку;VP
protiv_techeniya;34;108;142;против течения;PP
na_svoju_golovu;105;34;139;на свою голову;PP
vyvorachivaet_naiznanku;76;52;128;выворачивает наизнанку;VP
na_moju_golovu;93;29;122;на мою голову;PP
bez_golovy;18;86;104;без головы;PP
na_nozhah;79;21;100;на ножах;PP
plyt_po_techeniju;51;34;85;плыть по течению;VP
postavit_tochku;75;8;83;поставить точку;VP
s_penoi_u_rta;69;17;86;с пеной у рта;PP
sebe_na_golovu;5;63;68;себе на голову;OTHER
vyshe_sebya;56;11;67;выше себя;OTHER
po_barabanu;34;23;57;по барабану;PP
dlinnyj_jazyk;27;27;54;длинный язык;NP
vyvorachivat_naiznanku;40;8;48;выворачивать наизнанку;VP
vtoroj_dom;13;36;49;второй дом;NP
ne_na_svoem_meste;27;18;45;не на своём месте;PP
za_poyas_zatknut;25;18;43;за пояс заткнуть;VP
ele_dyshit;26;15;41;еле дышит;VP
hodit_na_zadnih_lapah;4;36;40;ходить на задних лапах;VP
smotret_v_lizo;20;18;38;смотреть в лицо;VP
osinoe_gnezdo;29;8;37;осиное гнездо;NP
pod_kablukom;22;13;35;под каблуком;PP
mutit_vodu;25;10;35;мутить воду;VP
kuda_veter_duet;29;5;34;куда ветер дует;CLAUSE
poezd_ushel;15;19;34;поезд ушёл;CLAUSE
na_svoyu_golovu;15;19;34;на свою голову;PP
chernyj_voron;11;22;33;чёрный ворон;NP
na_chemodanah;18;15;33;на чемоданах;PP
zamesti_sledy;32;0;32;замести следы;VP
gladit_po_golove;7;23;30;гладить по голове;VP
mokraja_kuriza;26;2;28;мокрая курица;NP
pervaja_skripka;9;16;25;первая скрипка;NP
udar_nizhe_poyasa;21;1;22;удар ниже пояса;NP
zalizyvat_rany;17;3;20;зализывать раны;VP
viset_v_vozduhe;10;10;20;висеть в воздухе;VP
kosoj_vzgljad;21;1;22;косой взгляд;NP
poslednyaja_kaplya;30;9;39;последняя капля;NP
vzyat_byka_za_roga;18;0;18;взять быка за рога;VP
proteret_glaza;4;13;17;протереть глаза;VP
zheltyj_bilet;13;2;15;жёлтый билет;NP
vyrvat_s_kornem;15;0;15;вырвать с корнем;VP
na_grebne_volny;5;9;14;на гребне волны;PP
zhirno_budet;12;0;12;жирно будет;VP
belaja_vorona;9;2;11;белая ворона;NP
nash_brat;7;3;10;наш брат;NP
otrezannyj_lomot;20;0;20;отрезанный ломоть;NP
nalomat_drov;9;0;9;наломать дров;VP
umyvat_ruki;6;2;8;умывать руки;VP
protyanut_nogi;8;0;8;протянуть ноги;VP
babushkiny_skazki;2;6;8;бабушкины сказки;NP
zametat_sledy;6;2;8;заметать следы;VP
vitat_voblakah;6;0;6;витать в облаках;VP
kashi_ne_svarish;9;2;11;каши не сваришь;VP
posmotret_v_lizo;6;0;6;посмотреть в лицо;VP
golova_bolit;1;5;6;голова болит;CLAUSE
na_moyu_golovu;2;3;5;на мою голову;PP
vtoraja_skripka;2;3;5;вторая скрипка;NP
na_dolzhnoi_vysote;8;0;8;на должной высоте;PP
chto_vozmesh;3;2;5;что возьмёшь;OTHER
raspravit_krylya;5;0;5;расправить крылья;VP
ne_za_gorami;5;0;5;не за горами;OTHER
hodit_nalevo;4;1;5;ходить налево;VP
zatyanut_poyas;8;0;8;затянуть пояс;VP
podzhat_hvost;4;0;4;поджать хвост;VP
konzert_okonchen;1;3;4;концерт окончен;CLAUSE
popastsa_na_udochku;3;0;3;попасться на удочку;VP
isporchennyj_telefon;6;0;6;испорченный телефон;NP
plyasat_pod_dudku;3;0;3;плясать под дудку;VP
lovit_rybu_v_mutnoj_vode;3;0;3;ловить рыбу в мутной воде;VP
prizhat_k_stene;0;3;3;прижать к стене;VP
glaza_otkrylis;3;0;3;глаза открылись;CLAUSE
zakidyvat_udochku;3;0;3;закидывать удочку;VP
blagodatnaja_pochva;3;0;3;благодатная почва;NP
lezhat_na_pechi;0;2;2;лежать на печи;VP
zakidat_shapkami;2;0;2;закидать шапками;VP
tknut_nosom;2;0;2;ткнуть носом;VP
balansirovat_na_grani;2;0;2;балансировать на грани;VP
shodit_so_szeny;2;0;2;сходить со сцены;VP
raspustit_hvost;1;0;1;распустить хвост;VP
sljuni_tekut;1;0;1;слюни текут;CLAUSE
zakinut_udochku;1;0;1;закинуть удочку;VP
nabrat_v_rot_vody;1;0;1;набрать в рот воды;VP
natknutsa_na_stenu;1;0;1;наткнуться на стену;VP
schitat_voron;1;0;1;считать ворон;VP
