,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1106   17]
 [   0 1270]]",0.992895946510656,0.9867909867909868,1.0,0.993351583887368,0.9924309884238646
1,"[[1080   43]
 [  37 1233]]",0.9665691600501463,0.9663009404388715,0.9708661417322835,0.9685781618224667,0.96628792393827
2,"[[1082   41]
 [  53 1217]]",0.9607187630589219,0.9674085850556439,0.9582677165354331,0.9628164556962026,0.9608791832899783
3,"[[1117    6]
 [   7 1263]]",0.9945674885081488,0.9952718676122931,0.9944881889763779,0.9948798739661283,0.9945726786377883
4,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
5,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
6,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
7,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
8,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
9,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
10,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
11,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
