,mean,cls
балансировать на грани,1.0,1.0
гладить по голове,0.6333333333333333,0.6333333333333333
голова болит,0.3333333333333333,0.3333333333333333
жирно будет,1.0,0.8333333333333334
за пояс заткнут,0.5555555555555556,0.5555555555555556
каши не свариш,0.8333333333333334,0.8333333333333334
косой взгляд,1.0,0.25
на мою голову,0.6,0.6
на свою голову,0.5882352941176471,0.5294117647058824
наш брат,0.6,0.4
не за горами,1.0,0.8
не на своем месте,0.6,0.6666666666666666
под каблуком,0.8857142857142857,0.7142857142857143
против течения,0.6808510638297872,0.7801418439716312
удар ниже пояса,0.7727272727272727,0.8636363636363636
